,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
Entry,0,40,2,16,53,16,69,54,36,6,7,113,7,1,32,27,60,4,6,74,0,82,3,6,7,1,4,17,3,2,2,4,0,30
head,0,1324,29,147,514,179,513,48,97,62,193,1174,20,14,1599,792,1235,8,31,226,14,49,1,22,1,1,14,4,1,8,0,2,1,55
shouler,0,20,13,9,5,22,22,2,2,4,3,10,2,0,20,5,22,0,1,9,3,8,0,2,0,0,0,0,0,0,0,1,0,4
arm,0,128,7,28,61,70,90,6,13,2,13,57,5,2,197,61,99,2,3,34,2,5,1,3,0,0,0,0,0,2,0,0,0,10
hand,0,516,9,49,376,68,276,35,26,19,31,131,5,6,489,204,418,17,13,105,14,31,1,12,2,2,1,3,1,1,4,1,0,35
body,0,149,14,51,59,97,140,10,16,14,27,125,11,3,179,68,94,4,4,58,3,34,0,7,1,0,2,3,1,0,2,0,0,23
"hip,leg,foot",0,424,17,98,241,150,363,71,71,50,54,474,17,15,574,170,655,26,18,274,47,86,2,23,2,0,2,10,1,14,3,3,0,116
bag,0,54,7,8,35,13,72,194,46,25,18,131,17,5,73,51,204,14,6,55,3,58,0,5,0,0,1,2,1,1,0,1,0,57
cup,0,92,5,12,32,23,79,45,140,15,14,121,8,3,224,48,180,4,6,73,2,26,0,0,0,0,65,4,0,2,0,1,0,31
earphone,0,61,4,8,19,7,45,16,19,33,7,90,10,5,237,38,104,7,4,37,3,13,0,1,0,0,2,2,2,1,2,0,0,10
glasses,0,189,3,11,31,25,61,16,14,10,19,190,2,7,283,105,85,4,4,32,3,6,0,3,1,0,1,0,0,0,0,1,0,8
mobilephone,0,1359,16,56,106,95,419,136,119,103,218,318,19,10,1886,340,861,23,4,198,12,68,1,3,2,1,5,3,1,4,1,2,0,136
overcoat,0,37,2,3,6,14,19,13,4,7,3,16,14,4,27,12,27,3,0,11,0,10,2,0,1,0,1,1,1,1,0,0,0,6
pillow,0,16,0,1,3,5,19,6,6,1,3,15,5,7,14,16,9,0,0,16,1,4,0,0,0,0,0,0,0,1,0,0,0,2
mouse,0,1508,19,168,455,159,509,81,240,191,212,1801,23,13,587,10203,1401,51,14,382,14,36,1,15,4,0,1,3,0,3,1,0,0,23
keyboard,0,933,4,85,266,67,225,53,67,49,145,528,13,10,9654,224,399,13,2,146,19,17,1,17,0,0,1,0,0,4,0,0,0,28
desktop,0,1205,17,104,416,82,609,222,168,118,96,891,30,11,1407,430,978,66,20,308,19,43,1,15,4,0,2,4,2,4,5,1,0,49
desk-drawer,0,3,0,2,22,5,27,9,6,12,5,29,1,1,46,5,63,141,1,18,5,5,0,1,0,0,0,1,0,2,0,0,0,7
desk-fence,0,21,1,3,16,10,12,4,6,0,3,15,0,0,20,5,21,0,17,13,0,7,0,1,0,0,0,1,0,0,0,0,0,2
chair-arm,0,195,8,30,106,50,314,62,57,54,22,203,17,21,475,121,303,15,14,116,23,65,2,3,0,0,2,9,1,3,0,1,0,33
chair-cushion,0,13,3,2,11,9,34,4,2,7,4,16,0,0,39,15,12,1,1,15,7,2,0,0,0,0,0,0,0,1,0,0,0,2
chair-back,0,45,6,7,26,26,99,58,26,3,3,62,14,11,44,11,55,9,8,101,5,101,3,3,1,0,3,0,0,4,2,0,0,38
controller,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,2,1,1,2,0,3,1,0,5,0,0,0,0,0,0,0,0,1
printer,0,24,2,3,10,6,20,4,0,0,8,4,1,0,4,17,22,1,1,4,0,1,0,254,0,0,0,0,0,1,30,2,0,8
door,0,2,0,1,4,0,4,0,0,0,0,0,0,1,0,0,3,0,0,1,0,2,2,0,6,0,0,0,0,0,0,0,0,11
window,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
waterdispenser,0,8,0,0,2,0,6,1,68,0,2,3,0,0,0,0,0,0,0,4,1,4,0,0,0,0,35,0,0,0,0,0,0,8
tissuedispenser,0,4,0,0,11,1,6,1,2,1,0,5,1,0,3,0,2,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,27
trashcan,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,2
cabinet,0,7,0,0,2,1,10,4,2,0,2,4,0,0,4,1,8,2,0,8,0,3,0,1,0,0,0,0,0,11,0,0,0,1
printerdesk,0,1,0,0,6,0,2,1,2,0,0,0,0,0,0,1,5,0,0,2,0,1,0,28,0,0,0,0,0,0,9,2,0,2
printerchair,0,0,1,0,2,0,2,2,0,0,0,3,0,0,0,1,2,1,0,0,0,4,0,2,0,0,0,0,0,0,1,4,0,1
hanger,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784
